id,eventDate,startTime,isHome,result,opponent.id,opponent.imgUrl,opponent.name,season,school,schoolId,sport,sportId,school.shortname,school.score,opponent.score,result.margin,points.total
-0dFyZeTVLkllPzxtGnEp,2015-12-11,19:15:00,True,67 - 50,5YW8Aj2EfqWIZPYU-6m3P,https://county-sport-zone-school-images.s3.us-east-2.amazonaws.com/pYPcJnu0qLnj5RsDSYwrn.jpg,Wootton High School,2015-2016,Clarksburg High School,5jegr8jl5C-tRBnXl_Ctd,Basketball Girls Varsity,eQdqCMa_TPcb1dXScC9hb,Clarksburg,67,50,17,117
tabOPjwSVyxgRuhCqcpmh,2015-12-14,19:15:00,False,55 - 46,tl-oAE_kOGB20rmMSyKNF,https://county-sport-zone-school-images.s3.us-east-2.amazonaws.com/I6IrH66_6AV4VtSc4VVjm.jpg,Richard Montgomery High School,2015-2016,Clarksburg High School,5jegr8jl5C-tRBnXl_Ctd,Basketball Girls Varsity,eQdqCMa_TPcb1dXScC9hb,Clarksburg,55,46,9,101
AK2gOzna9yhxRp7OIUyZP,2015-12-16,19:15:00,True,60 - 32,FxsO-uGW5ieLmryYw4tPx,https://county-sport-zone-school-images.s3.us-east-2.amazonaws.com/6Q31Twb8iGiFfC-K18ZVP.jpg,Einstein High School,2015-2016,Clarksburg High School,5jegr8jl5C-tRBnXl_Ctd,Basketball Girls Varsity,eQdqCMa_TPcb1dXScC9hb,Clarksburg,60,32,28,92
XINaiKA0U-icgzmFvQFz2,2015-12-21,19:15:00,False,52 - 41,NV91UL-NJFKJTs622FrAw,https://county-sport-zone-school-images.s3.us-east-2.amazonaws.com/iBdWGEC8ooKMREXY_zTLa.jpg,Blair High School,2015-2016,Clarksburg High School,5jegr8jl5C-tRBnXl_Ctd,Basketball Girls Varsity,eQdqCMa_TPcb1dXScC9hb,Clarksburg,52,41,11,93
G9Rx2i2XlHSnSNJsTRvhY,2016-01-08,19:15:00,False,56 - 50,xDve9NIyMMUgGTmtevivq,https://county-sport-zone-school-images.s3.us-east-2.amazonaws.com/c95q6NXmA2mPi6T6tZo0z.jpg,Damascus High School,2015-2016,Clarksburg High School,5jegr8jl5C-tRBnXl_Ctd,Basketball Girls Varsity,eQdqCMa_TPcb1dXScC9hb,Clarksburg,56,50,6,106
bcGGQxJK1LnU7j6Mbh-s0,2016-01-15,19:15:00,False,58 - 46,i_P4D-Pf_ZZ-P6v1DdjgD,https://county-sport-zone-school-images.s3.us-east-2.amazonaws.com/vhzZUi-gep6HOC9MbgGTM.jpg,Northwest High School,2015-2016,Clarksburg High School,5jegr8jl5C-tRBnXl_Ctd,Basketball Girls Varsity,eQdqCMa_TPcb1dXScC9hb,Clarksburg,58,46,12,104
Ds5S4N0JqlwI9GQrjAJHp,2016-01-21,19:15:00,True,65 - 59,fGvTz4Ygko3spfGJZccr7,https://county-sport-zone-school-images.s3.us-east-2.amazonaws.com/y_8kLcDJN-V1kgVjjJdQT.jpg,Quince Orchard High School,2015-2016,Clarksburg High School,5jegr8jl5C-tRBnXl_Ctd,Basketball Girls Varsity,eQdqCMa_TPcb1dXScC9hb,Clarksburg,65,59,6,124
VIxgkI9GWgqqwlrfAHYit,2016-01-30,12:00:00,True,57 - 35,bn9vWKDW5zhzEAxEYx6Dy,https://county-sport-zone-school-images.s3.us-east-2.amazonaws.com/JWDFgbfufDRJXW8iogUGW.jpg,Watkins Mill High School,2015-2016,Clarksburg High School,5jegr8jl5C-tRBnXl_Ctd,Basketball Girls Varsity,eQdqCMa_TPcb1dXScC9hb,Clarksburg,57,35,22,92
QBj3Radh3apfbKtqxnc9D,2016-02-01,19:15:00,True,74 - 29,O6rhuJNtfPun6OP3qAva7,https://county-sport-zone-school-images.s3.us-east-2.amazonaws.com/1CnU24BGjrvVvZrjtbB-e.jpg,Seneca Valley High School,2015-2016,Clarksburg High School,5jegr8jl5C-tRBnXl_Ctd,Basketball Girls Varsity,eQdqCMa_TPcb1dXScC9hb,Clarksburg,74,29,45,103
93hADJD1P3ZNDPAhAbSaF,2016-02-03,17:30:00,True,53 - 44,PwOpzyBOHXknyI-lx5aYW,https://county-sport-zone-school-images.s3.us-east-2.amazonaws.com/c95q6NXmA2mPi6T6tZo0z.jpg,Damascus High School,2015-2016,Clarksburg High School,5jegr8jl5C-tRBnXl_Ctd,Basketball Girls Varsity,eQdqCMa_TPcb1dXScC9hb,Clarksburg,53,44,9,97
